Date,area (km2),GranD_ID
2021-05-01,5.42075,79
2021-05-15,5.46775,79
2021-06-01,5.54075,79
2021-06-15,5.606,79
2021-07-01,5.598,79
2021-07-15,5.7115,79
2021-08-01,5.847333333333334,79
2021-08-15,5.5776,79
2021-09-01,5.5184999999999995,79
2021-09-15,5.511,79
2021-10-01,5.552,79
2021-10-15,5.1615,79
2021-11-01,4.9727500000000004,79
2021-11-15,5.04525,79
2021-12-01,5.2832,79
2021-12-15,5.35275,79
2022-01-01,5.3208,79
2022-01-15,5.271800000000001,79
2022-02-01,4.9239999999999995,79
2022-02-15,5.2568,79
2022-03-01,5.6690000000000005,79
2022-03-15,5.5846,79
2022-04-01,5.6166,79
2022-04-15,5.3295,79
2022-05-01,5.4285,79
2022-05-15,5.4826,79
2022-06-01,5.35,79
2022-06-15,5.5882,79
2022-07-01,5.688750000000001,79
2022-07-15,5.6518,79
2022-08-01,5.64875,79
2022-08-15,5.4844,79
2022-09-01,5.575200000000001,79
2022-09-15,5.6256,79
2022-10-01,5.55825,79
2022-10-15,5.4688,79
2022-11-01,5.5455,79
2022-11-15,5.6903999999999995,79
2022-12-01,5.3732,79
2022-12-15,4.9014999999999995,79
2023-01-01,4.663,79
2023-01-15,4.28675,79
2023-02-01,4.148,79
2023-02-15,4.148,79
2019-05-01,22.043,309
2019-05-15,22.3385,309
2019-06-01,24.02025,309
2019-06-15,23.7915,309
2019-07-01,22.581333333333333,309
2019-07-15,23.0382,309
2019-08-01,23.801666666666666,309
2019-08-15,23.0804,309
2019-09-01,22.60875,309
2019-09-15,22.844000000000005,309
2019-10-01,23.411,309
2019-10-15,23.232499999999998,309
2019-11-01,23.324,309
2019-11-15,22.671499999999998,309
2019-12-01,22.819,309
2019-12-15,23.72825,309
2020-01-01,22.786250000000003,309
2020-01-15,24.0185,309
2020-02-01,23.001333333333335,309
2020-02-15,21.88175,309
2020-03-01,21.764333333333337,309
2020-03-15,21.82875,309
2020-04-01,21.822499999999998,309
2020-04-15,22.468,309
2020-05-01,23.00875,309
2020-05-15,24.954,309
2020-06-01,22.847333333333335,309
2020-06-15,22.3722,309
2020-07-01,22.855,309
2020-07-15,23.7018,309
2020-08-01,23.987666666666666,309
2020-08-15,24.078,309
2020-09-01,23.50075,309
2020-09-15,24.082,309
2020-10-01,23.2345,309
2020-10-15,22.552666666666667,309
2020-11-01,22.91525,309
2020-11-15,23.53575,309
2020-12-01,24.004666666666665,309
2020-12-15,24.3232,309
2021-01-01,24.333,309
2021-01-15,22.527250000000002,309
2021-02-01,21.739666666666665,309
2021-02-15,19.8925,309
2021-03-01,20.55825,309
2021-03-15,24.22375,309
2021-04-01,25.575333333333333,309
2021-04-15,24.61425,309
2021-05-01,22.9305,309
2021-05-15,23.146,309
2021-06-01,22.145666666666667,309
2021-06-15,22.36825,309
2021-07-01,24.022666666666666,309
2021-07-15,24.1028,309
2021-08-01,23.295,309
2021-08-15,24.17125,309
2021-09-01,23.548333333333336,309
2021-09-15,21.849,309
2021-10-01,21.80966666666667,309
2021-10-15,22.644,309
2021-11-01,22.114666666666665,309
2021-11-15,22.9946,309
2021-12-01,23.97475,309
2021-12-15,20.60325,309
2022-01-01,15.6504,309
2022-01-15,15.661999999999999,309
2022-02-01,14.93325,309
2022-02-15,17.951,309
2022-03-01,20.927999999999997,309
2022-03-15,22.6846,309
2022-04-01,24.3728,309
2022-04-15,23.853199999999998,309
2022-05-01,24.649,309
2022-05-15,23.3632,309
2022-06-01,23.176,309
2022-06-15,23.897000000000002,309
2022-07-01,23.462,309
2022-07-15,24.184199999999997,309
2022-08-01,24.378333333333334,309
2022-08-15,24.31833333333333,309
2022-09-01,24.965,309
2022-09-15,24.5646,309
2022-10-01,24.198,309
2022-10-15,23.5265,309
2022-11-01,23.823,309
2022-11-15,22.740199999999998,309
