init_units,learning_rate,activation,batch_size,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,Score
16,0.1,relu,128,2,0,5,0,,4.068173408508301
128,0.001,relu,512,4,0,4,0,,4.074959754943848
16,0.0001,linear,8,2,0,5,0,,4.0806355476379395
32,0.01,linear,512,2,0,5,0,,4.083006381988525
8,0.001,relu,64,2,0,5,0,,4.092419624328613
32,0.001,relu,64,2,0,5,0,,4.10549783706665
32,0.001,relu,256,2,0,5,0,,4.149916648864746
16,0.0001,relu,32,4,0,4,0,,4.15418004989624
8,0.1,linear,512,2,0,5,0,,4.1557393074035645
32,0.01,relu,512,2,0,5,0,,4.165969371795654
64,0.0001,linear,8,4,2,5,1,0168,4.167944431304932
128,0.001,linear,128,2,0,5,0,,4.170855522155762
8,0.001,relu,128,2,0,5,0,,4.1733012199401855
8,0.0001,relu,8,2,0,5,0,,4.175084590911865
16,0.1,linear,256,2,0,5,0,,4.175249099731445
8,0.0001,linear,32,4,0,4,0,,4.1766533851623535
16,0.1,linear,8,4,2,5,1,0027,4.177420139312744
16,0.1,linear,16,2,0,5,0,,4.177925109863281
32,0.0001,relu,32,2,0,5,0,,4.178063869476318
16,0.001,linear,128,2,0,5,0,,4.184669494628906
16,0.1,relu,16,2,0,5,0,,4.191596031188965
8,0.1,relu,16,2,0,5,0,,4.211385250091553
64,0.01,linear,16,2,0,5,0,,4.220768451690674
16,0.01,relu,32,4,2,5,1,0266,4.234358310699463
128,0.0001,linear,64,2,0,5,0,,4.2678093910217285
8,0.1,linear,256,2,0,5,0,,4.268249034881592
64,0.001,linear,16,4,2,5,1,0039,4.275131702423096
32,0.01,linear,16,4,2,5,1,0059,4.275595188140869
8,0.01,linear,512,2,0,5,0,,4.276928424835205
32,0.001,linear,256,2,0,5,0,,4.296329975128174
8,0.01,relu,512,2,0,5,0,,4.298505783081055
128,1e-05,linear,8,2,0,5,0,,4.317027568817139
8,0.1,relu,32,2,0,5,0,,4.318578720092773
8,0.0001,linear,16,2,0,5,0,,4.336406230926514
128,1e-05,relu,8,2,0,5,0,,4.33916711807251
128,0.01,linear,16,4,2,5,1,0151,4.343239784240723
16,0.1,linear,64,2,0,5,0,,4.346451282501221
128,0.0001,linear,128,2,0,5,0,,4.3521647453308105
64,0.01,relu,8,2,0,5,0,,4.35761833190918
16,0.0001,linear,16,2,0,5,0,,4.3654961585998535
64,0.01,relu,128,2,0,5,0,,4.3663763999938965
128,0.01,relu,128,4,0,4,0,,4.380736827850342
16,0.0001,relu,16,2,0,5,0,,4.382803440093994
64,0.0001,relu,32,2,0,5,0,,4.409189701080322
8,0.0001,linear,8,2,0,5,0,,4.411925315856934
64,0.0001,linear,32,2,0,5,0,,4.431153297424316
8,0.1,relu,256,2,0,5,0,,4.442017555236816
128,0.001,relu,64,2,0,5,0,,4.4765448570251465
16,0.001,relu,256,2,0,5,0,,4.503003120422363
64,1e-05,linear,16,4,0,4,0,,4.52508544921875
16,0.0001,linear,32,2,0,5,0,,4.5267720222473145
8,0.001,linear,256,2,0,5,0,,4.530506610870361
16,0.01,linear,8,2,0,5,0,,4.532169342041016
16,0.01,linear,16,2,0,5,0,,4.569873332977295
8,0.001,relu,256,4,0,4,0,,4.584721565246582
128,0.0001,relu,128,2,0,5,0,,4.58831787109375
64,0.01,relu,16,4,2,5,1,0026,4.594096660614014
64,0.01,linear,256,2,0,5,0,,4.606725215911865
8,0.001,linear,128,2,0,5,0,,4.613744258880615
32,0.0001,linear,64,2,0,5,0,,4.634955406188965
128,1e-05,relu,16,2,0,5,0,,4.642539024353027
64,1e-05,linear,8,2,0,5,0,,4.657447814941406
128,0.001,relu,32,2,0,5,0,,4.659719467163086
8,0.0001,relu,16,2,0,5,0,,4.686813831329346
32,0.0001,relu,64,2,0,5,0,,4.694693088531494
128,1e-05,linear,16,2,0,5,0,,4.739023208618164
16,0.1,linear,32,4,2,5,1,0062,4.739765167236328
64,0.001,linear,256,2,0,5,0,,4.75935697555542
64,1e-05,relu,8,2,0,5,0,,4.766415119171143
128,0.001,linear,512,2,0,5,0,,4.7740960121154785
64,0.0001,relu,64,2,0,5,0,,4.813014984130859
64,0.01,relu,512,2,0,5,0,,4.839168548583984
64,0.01,relu,256,2,0,5,0,,4.840455055236816
32,0.0001,linear,32,2,0,5,0,,4.8796820640563965
64,0.0001,relu,128,2,0,5,0,,4.929261207580566
64,0.001,linear,512,2,0,5,0,,4.9313273429870605
128,0.0001,relu,256,2,0,5,0,,4.954888343811035
128,1e-05,relu,64,4,0,4,0,,5.142799377441406
64,1e-05,relu,16,2,0,5,0,,5.1692986488342285
128,0.01,linear,128,2,0,5,0,,5.195127010345459
64,0.0001,linear,128,2,0,5,0,,5.228759288787842
64,0.01,linear,512,2,0,5,0,,5.232120037078857
16,0.1,relu,32,2,0,5,0,,5.517353057861328
16,0.0001,linear,64,2,0,5,0,,5.560896873474121
16,0.1,linear,128,2,0,5,0,,5.589423179626465
32,0.001,linear,512,2,0,5,0,,5.6304707527160645
128,1e-05,relu,32,2,0,5,0,,5.649859428405762
32,0.001,relu,512,2,0,5,0,,5.659081935882568
32,1e-05,relu,8,2,0,5,0,,5.674137115478516
8,0.0001,relu,32,2,0,5,0,,5.6766533851623535
128,1e-05,linear,32,2,0,5,0,,5.828892230987549
32,0.0001,relu,128,2,0,5,0,,6.04693078994751
16,1e-05,linear,8,2,0,5,0,,6.078248023986816
8,0.001,linear,512,2,0,5,0,,6.0974202156066895
16,0.001,relu,512,2,0,5,0,,6.292496681213379
16,0.0001,relu,64,2,0,5,0,,6.38118314743042
16,0.001,linear,512,2,0,5,0,,6.407765865325928
32,0.0001,linear,128,2,0,5,0,,6.419814109802246
8,0.001,relu,512,2,0,5,0,,6.441298484802246
32,0.1,relu,8,2,0,5,0,,6.463503360748291
