date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
1983-05-13,,,,3837643.1548416,3938980.1472
1983-05-14,,,,3439610.4342528004,3425200.128
1983-05-15,,,,3448662.7488768,3376268.6976
1983-05-16,,,,3580117.0366463996,3449665.8432
1983-05-17,,,,3247946.021376,3131611.5456
1983-05-18,,,,3277133.6196096,3131611.5456
1983-05-19,,,,3282565.008384,3180542.976
1983-05-20,,,,3072428.9805312,2984817.2544
1983-05-21,,,,2867186.0957184,2838022.9632
1983-05-22,,,,2656536.2878464,2568900.096
1983-05-23,,,,2280057.8623488,2250845.7983999997
1983-05-24,,,,2269586.5362432,2079585.792
1983-05-25,,,,2034813.533184,1947470.92992
1983-05-26,,,,1878257.4216192001,1820249.21088
1983-05-27,,,,1682042.3857151999,1629416.63232
1983-05-28,,,,1558881.9753983999,1509534.62784
1983-05-29,,,,1399561.2380159998,1414118.33856
1983-05-30,,,,1260351.318528,1304022.62016
1983-05-31,,,,1172470.4695296,1245304.90368
1983-06-01,,,,1056258.3223296,1259984.3328
1983-06-02,,,,821411.9221248,1201266.61632
1983-06-03,,,,909390.633984,1113190.0415999999
1983-06-04,,,,812017.0874879999,1015327.1808
1983-06-05,,,,724625.5527936,941930.0352
1983-06-06,,,,779648.9462784,880765.7472
1983-06-07,,,,606578.4769536,880765.7472
1983-06-08,,,,443465.5537152,1003094.3232
1983-06-09,,,,500177.0815488,1098510.61248
1983-06-10,,,,606040.2312192001,1171907.75808
1983-06-11,,,,797484.4526592,1289343.19104
1983-06-12,,,,670507.3907712,1201266.61632
1983-06-13,,,,572253.078528,1113190.0415999999
1983-06-14,,,,493277.7498624,1003094.3232
1983-06-15,,,,459955.44576,966395.7504
1983-06-16,,,,426364.0187904,929697.1775999999
1983-06-17,,,,325638.669312,892998.6048
1983-06-18,,,,330874.33236480004,880765.7472
1983-06-19,,,,419684.87854079995,978628.608
1983-06-20,,,,372661.7739264,954162.8928
1983-06-21,,,,352893.4760448,929697.1775999999
1983-06-22,,,,306800.068608,905231.4624
1983-06-23,,,,302371.7741568,905231.4624
1983-06-24,,,,328134.1722624,917464.32
1983-06-25,,,,282799.2019968,880765.7472
1983-06-26,,,,263397.8898432,856300.032
1983-06-27,,,,484127.5723776,941930.0352
1983-06-28,,,,409335.8810112,941930.0352
1983-06-29,,,,390717.471744,880765.7472
1983-06-30,,,,318005.3661696,868532.8896
1983-07-01,,,,475833.6949248,831834.3168
1983-07-02,,,,464555.00021759997,844067.1744
1983-07-03,,,,580987.3388544,795135.744
1983-07-04,,,,427611.7702656,741311.17056
1983-07-05,,,,347878.00442879996,685040.0255999999
1983-07-06,,,,299851.8054912,697272.8832
1983-07-07,,,,254883.82095360002,785349.45792
1983-07-08,,,,317809.640448,795135.744
1983-07-09,,,,236485.60312319998,819601.4592
1983-07-10,,,,193499.3415168,807368.6015999999
1983-07-11,,,,296451.0710784,807368.6015999999
1983-07-12,,,,239812.94039039998,751097.45664
1983-07-13,,,,120713.8387968,719292.02688
1983-07-14,,,,204411.05049599998,751097.45664
1983-07-15,,,,266578.4328192,751097.45664
1983-07-16,,,,203334.55902719998,741311.17056
1983-07-17,,,,207126.74488319998,729078.31296
1983-07-18,,,,158733.5602176,729078.31296
1983-07-19,,,,227433.2884992,741311.17056
1983-07-20,,,,147503.7969408,795135.744
1983-07-21,,,,155920.0029696,785349.45792
1983-07-22,,,,38411.172864,807368.6015999999
