date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m)
1999-04-03,12379651.891199999,4795280.1792,0.0,1061.904912
1999-04-04,12477514.751999998,5284594.483200001,0.0,1061.7860400000002
1999-04-05,12477514.751999998,4526157.312,0.0,1061.661072
1999-04-06,3498597.2735999995,3498597.2735999995,0.0,1061.5879200000002
1999-04-07,1712600.0639999998,3645391.5648,0.0,1061.6184
1999-04-08,2446571.52,3792185.856,0.0,1061.6458320000002
1999-04-09,3033748.6848,4183637.2992,0.0,1061.6641200000001
1999-04-10,3058214.4,3449665.8431999995,0.0,1061.676312
1999-04-11,2079585.792,3841117.2864,0.0,1061.691552
1999-04-12,2079585.792,4036843.008,0.0,1061.7220320000001
1999-04-13,5627114.495999999,4281500.159999999,0.0,1061.74032
1999-04-14,7755631.7184,5235663.052800001,0.0,1061.7037440000001
1999-04-15,8440671.744,5357991.628799999,0.0,1061.661072
1999-04-16,8318343.168,5235663.052800001,0.0,1061.6062080000002
1999-04-17,807368.6016,6043031.6544,0.0,1061.615352
1999-04-18,489314.304,8636397.465599999,0.0,1061.718984
1999-04-19,7143988.8384,14508169.113599999,0.0,1061.8591920000001
1999-04-20,8465137.459199999,18373752.115199998,0.0,1061.993304
1999-04-21,8538534.6048,17297260.646399997,0.0,1062.133512
1999-04-22,8954451.7632,14630497.6896,0.0,1062.2554320000002
1999-04-23,8342808.883200001,13431677.6448,0.0,1062.33468
1999-04-24,489314.304,13798663.372799998,0.0,1062.4718400000002
1999-04-25,513780.0192,16000577.7408,0.0,1062.697392
1999-04-26,7119523.1232,23682812.313599996,0.0,1062.953424
1999-04-27,10153271.808,25199686.656000003,0.0,1063.2003120000002
1999-04-28,11914803.302400002,21431966.515199997,0.0,1063.389288
1999-04-29,12134994.7392,17908903.5264,0.0,1063.514256
1999-04-30,11768009.011199998,15560194.8672,0.0,1063.58436
1999-05-01,489314.304,15853783.4496,0.0,1063.72152
1999-05-02,489314.304,17541917.798400003,0.0,1063.96536
1999-05-03,10471326.105600001,15731454.873599999,0.0,1064.145192
1999-05-04,11865871.871999998,16122906.316799998,0.0,1064.212248
1999-05-05,11768009.011199998,13382746.2144,0.0,1064.251872
1999-05-06,12722171.904,12746637.619199999,0.0,1064.264064
1999-05-07,12624309.0432,12624309.0432,0.0,1064.267112
1999-05-08,856300.0319999999,12404117.606400002,0.0,1064.34636
1999-05-09,513780.0192,13138089.0624,0.0,1064.52924
1999-05-10,6214291.6608,12330720.4608,0.0,1064.669448
1999-05-11,7535440.2816,10813846.118399998,0.0,1064.733456
1999-05-12,7388645.9904,11278694.7072,0.0,1064.78832
1999-05-13,7462043.135999999,10520257.535999998,0.0,1064.843184
1999-05-14,6801468.825599999,10495791.820799999,0.0,1064.891952
1999-05-15,489314.304,10789380.403199999,0.0,1064.9925360000002
1999-05-16,489314.304,11034037.555200001,0.0,1065.151032
1999-05-17,6140894.515199999,11327626.137600001,0.0,1065.269904
1999-05-18,7731166.0032,13578471.936,0.0,1065.349152
1999-05-19,6923797.4016,16098440.6016,0.0,1065.4619280000002
1999-05-20,6825934.5408,19205586.432,0.0,1065.6204240000002
1999-05-21,7217385.984,23046703.7184,0.0,1065.827688
1999-05-22,538245.7344,26741026.7136,0.0,1066.120296
1999-05-23,538245.7344,31511841.1776,0.0,1066.52568
1999-05-24,8196014.592000001,42350153.011199996,0.0,1066.98288
1999-05-25,7829028.864,55414844.927999996,0.0,1067.549808
1999-05-26,7046125.9776,63635325.2352,0.0,1068.296568
1999-05-27,9101246.0544,55414844.927999996,0.0,1069.000656
1999-05-28,7755631.7184,49543073.28,0.0,1069.5706320000002
1999-05-29,1394545.7663999998,49200553.2672,0.0,1070.164992
1999-05-30,440382.8736,42668207.308800004,0.0,1070.74716
1999-05-31,1859394.3551999999,37554872.832,0.0,1071.25008
1999-06-01,6630208.8192,37359147.1104,0.0,1071.6707040000001
1999-06-02,9248040.345599998,36796435.660799995,0.0,1072.030368
1999-06-03,7755631.7184,41493852.979200006,0.0,1072.4205120000001
1999-06-04,8709794.6112,44160615.936000004,0.0,1072.874664
1999-06-05,611642.88,48833567.53920001,0.0,1073.389776
1999-06-06,562711.4496,42545878.73280001,0.0,1073.94756
1999-06-07,7829028.864,36943229.95199999,0.0,1074.395616
1999-06-08,4501691.5968,29505652.5312,0.0,1074.715656
1999-06-09,7046125.9776,25860260.9664,0.0,1074.9991200000002
1999-06-10,8342808.883200001,22435060.8384,0.0,1075.188096
1999-06-11,9370368.921600001,20453337.907199997,0.0,1075.3374480000002
1999-06-12,489314.304,21994677.9648,0.0,1075.51728
1999-06-13,489314.304,24906098.073599998,0.0,1075.785504
1999-06-14,9615026.0736,32123484.057600003,0.0,1076.090304
1999-06-15,6287688.806399999,41493852.979200006,0.0,1076.428632
1999-06-16,3131611.5456,46362530.304,0.0,1076.901072
1999-06-17,3938980.1472,48858033.2544,0.0,1077.397896
1999-06-18,4061308.7232,46166804.5824,0.0,1077.916056
1999-06-19,562711.4496,45139244.54399999,0.0,1078.3976400000001
1999-06-20,562711.4496,40148238.643199995,0.0,1078.879224
1999-06-21,562711.4496,35548684.185600005,0.0,1079.32728
1999-06-22,782902.8864,39781252.9152,0.0,1079.747904
1999-06-23,660574.3104000001,33640358.4,0.0,1080.135
1999-06-24,5162265.907199999,31169321.1648,0.0,1080.4489440000002
1999-06-25,489314.304,34912575.590399995,0.0,1080.7598400000002
1999-06-26,489314.304,31756498.329600003,0.0,1081.1347440000002
1999-06-27,3302871.552,26374040.985600002,0.0,1081.439544
1999-06-28,489314.304,23095635.148799997,0.0,1081.6803360000001
1999-06-29,587177.1648,21285172.224,0.0,1081.915032
1999-06-30,2691228.6720000003,28257901.056,0.0,1082.16192
1999-07-01,3131611.5456,36184792.78079999,0.0,1082.485008
1999-07-02,2006188.6463999997,36649641.369600005,0.0,1082.84772
1999-07-03,5113334.476799999,27352669.5936,0.0,1083.143376
1999-07-04,5039937.3312,23658346.598400004,0.0,1083.362832
1999-07-05,5039937.3312,19694900.736,0.0,1083.5335200000002
1999-07-06,5015471.615999999,18251423.5392,0.0,1083.679824
1999-07-07,6777003.1104,15976112.025600001,0.0,1083.77736
1999-07-08,5064403.046399999,16049509.171199998,0.0,1083.96024
1999-07-09,4917608.755199999,17639780.6592,0.0,1084.091304
1999-07-10,513780.0192,17346192.0768,0.0,1084.231512
1999-07-11,513780.0192,15584660.5824,0.0,1084.4022
1999-07-12,513780.0192,18593943.551999997,0.0,1084.563744
1999-07-13,464848.58879999997,12428583.3216,0.0,1084.72224
1999-07-14,587177.1648,16954740.6336,0.0,1084.8654960000001
1999-07-15,7046125.9776,13187020.492800001,0.0,1084.98132
1999-07-16,10030943.231999999,11498886.144,0.0,1085.0057040000002
1999-07-17,2789091.5327999997,13040226.2016,0.0,1085.060568
1999-07-18,4403828.7360000005,6458948.8128,0.0,1085.112384
1999-07-19,7780097.4336,13945457.664,0.0,1085.197728
1999-07-20,9468231.7824,9174643.200000001,0.0,1085.231256
1999-07-21,10348997.529600002,7706700.288,0.0,1085.2221120000002
1999-07-22,11596749.0048,7486508.8512,0.0,1085.197728
1999-07-23,10593654.681599999,7364180.275199999,0.0,1085.161152
1999-07-24,2201914.3680000002,7780097.4336,0.0,1085.176392
1999-07-25,464848.58879999997,6630208.8192,0.0,1085.234304
1999-07-26,6458948.8128,7633303.1424,0.0,1085.2800240000001
1999-07-27,8611931.7504,5382457.3440000005,0.0,1085.2586880000001
1999-07-28,9223574.6304,5113334.476799999,0.0,1085.228208
1999-07-29,9248040.345599998,6018565.9392,0.0,1085.188584
1999-07-30,8440671.744,5235663.052800001,0.0,1085.14896
1999-07-31,440382.8736,4257034.4448,0.0,1085.14896
1999-08-01,464848.58879999997,5749443.072,0.0,1085.19468
1999-08-02,8832123.1872,5602648.7808,0.0,1085.212968
1999-08-03,11180831.8464,5015471.615999999,0.0,1085.155056
1999-08-04,11180831.8464,5309060.198399999,0.0,1085.084952
1999-08-05,8342808.883200001,4746348.7488,0.0,1085.033136
1999-08-06,8293877.452800001,5064403.046399999,0.0,1084.993512
1999-08-07,5773908.787199999,6361085.952,0.0,1084.9691280000002
1999-08-08,4134705.8688,318054.2976,0.0,1084.963032
1999-08-09,8367274.5984,5162265.907199999,0.0,1084.9508400000002
1999-08-10,8489603.174400002,3229474.4064,0.0,1084.9051200000001
1999-08-11,8342808.883200001,2495502.9504,0.0,1084.850256
1999-08-12,7559905.9968,6116428.8,0.0,1084.816728
1999-08-13,8367274.5984,3131611.5456,0.0,1084.7710080000002
1999-08-14,8611931.7504,3376268.6975999996,0.0,1084.7161440000002
1999-08-15,9052314.624,3914514.432,0.0,1084.667376
1999-08-16,8563000.319999998,3914514.432,0.0,1084.61556
1999-08-17,8318343.168,4893143.04,0.0,1084.560696
1999-08-18,8563000.319999998,244657.152,0.0,1084.502784
1999-08-19,8318343.168,4403828.7360000005,0.0,1084.438776
1999-08-20,9786286.08,978628.608,0.0,1084.3778160000002
1999-08-21,10275600.384000001,1712600.0639999998,0.0,1084.292472
1999-08-22,10275600.384000001,4403828.7360000005,0.0,1084.213224
1999-08-23,12722171.904,1052025.7536,0.0,1084.121784
1999-08-24,10764914.688000001,2201914.3680000002,0.0,1084.0212000000001
1999-08-25,11254228.991999999,978628.608,0.0,1083.932808
1999-08-26,11254228.991999999,4648485.887999999,0.0,1083.835272
1999-08-27,11205297.5616,1957257.216,0.0,1083.737736
1999-08-28,9248040.345599998,489314.304,0.0,1083.643248
1999-08-29,9174643.200000001,3425200.1279999996,0.0,1083.5731440000002
1999-08-30,11009571.84,244657.152,0.0,1083.4878
1999-08-31,11498886.144,4232568.729599999,0.0,1083.39636
1999-09-01,11914803.302400002,5333525.913600001,0.0,1083.2927280000001
1999-09-02,11278694.7072,6434483.097599999,0.0,1083.192144
1999-09-03,11278694.7072,1296682.9056000002,0.0,1083.09156
1999-09-04,6801468.825599999,1957257.216,0.0,1083.009264
1999-09-05,6507880.2432,1394545.7663999998,0.0,1082.957448
1999-09-06,6679140.2496,1859394.3551999999,0.0,1082.9056320000002
1999-09-07,10275600.384000001,2911420.1087999996,0.0,1082.8416240000001
1999-09-08,11303160.4224,1394545.7663999998,0.0,1082.737992
1999-09-09,11498886.144,1345614.3360000001,0.0,1082.63436
1999-09-10,11205297.5616,1321148.6208000001,0.0,1082.52768
1999-09-11,9272506.060800001,1932791.5008,0.0,1082.4270960000001
1999-09-12,9272506.060800001,1908325.7856,0.0,1082.341752
1999-09-13,11303160.4224,1467942.9119999998,0.0,1082.2503120000001
1999-09-14,11229763.276800001,1394545.7663999998,0.0,1082.143632
1999-09-15,11156366.131199999,4721883.0336,0.0,1082.036952
1999-09-16,11229763.276800001,4428294.4512,0.0,1081.930272
1999-09-17,11425488.9984,4159171.584,0.0,1081.823592
1999-09-18,9296971.775999999,3523062.9888,0.0,1081.71996
1999-09-19,9296971.775999999,2886954.3935999996,0.0,1081.62852
1999-09-20,10911708.9792,2250845.7984,0.0,1081.534032
1999-09-21,11327626.137600001,1614737.2032,0.0,1081.427352
1999-09-22,9957546.0864,538245.7344,0.0,1081.3298160000002
1999-09-23,11229763.276800001,1541340.0576,0.0,1081.223136
1999-09-24,11327626.137600001,4134705.8688,0.0,1081.104264
1999-09-25,9223574.6304,6728071.68,0.0,1081.0128240000001
1999-09-26,9296971.775999999,3914514.432,0.0,1080.9335760000001
1999-09-27,8783191.756800001,1076491.4688,0.0,1080.848232
1999-09-28,11474420.4288,2128517.2224,0.0,1080.753744
1999-09-29,11425488.9984,1810462.9248,0.0,1080.634872
1999-09-30,11474420.4288,1785997.2096,0.0,1080.5220960000001
1999-10-01,11352091.852799999,1785997.2096,0.0,1080.40932
1999-10-02,6238757.375999999,1321148.6208000001,0.0,1080.320928
1999-10-03,5627114.495999999,978628.608,0.0,1080.266064
1999-10-04,5627114.495999999,978628.608,0.0,1080.2142480000002
1999-10-05,5627114.495999999,1003094.3231999999,0.0,1080.159384
1999-10-06,5627114.495999999,733971.4559999999,0.0,1080.1106160000002
1999-10-07,5627114.495999999,3180542.976,0.0,1080.0588
1999-10-08,5651580.2112,3474131.5583999995,0.0,1080.0283200000001
1999-10-09,5627114.495999999,5627114.495999999,0.0,1080.01308
1999-10-10,5627114.495999999,733971.4559999999,0.0,1079.9886960000001
1999-10-11,5627114.495999999,5627114.495999999,0.0,1079.9521200000001
1999-10-12,5627114.495999999,1003094.3231999999,0.0,1079.92164
1999-10-13,5602648.7808,5602648.7808,0.0,1079.8942080000002
1999-10-14,2691228.6720000003,5235663.052800001,0.0,1079.885064
1999-10-15,2691228.6720000003,4868677.3248,0.0,1079.885064
1999-10-16,2691228.6720000003,2691228.6720000003,0.0,1079.885064
1999-10-17,3841117.2864,1663668.6336,0.0,1079.872872
1999-10-18,5260128.767999999,2055120.0768,0.0,1079.848488
1999-10-19,2422105.8048,2422105.8048,0.0,1079.827152
1999-10-20,2446571.52,2446571.52,0.0,1079.824104
1999-10-21,2446571.52,,0.0,1079.81496
1999-10-22,2446571.52,2446571.52,0.0,1079.808864
1999-10-23,2446571.52,269122.8672,0.0,1079.796672
1999-10-24,3841117.2864,1419011.4815999998,0.0,1079.781432
1999-10-25,4526157.312,2079585.792,0.0,1079.747904
1999-10-26,3743254.4256,3743254.4256,0.0,1079.726568
1999-10-27,4770814.464,171260.0064,0.0,1079.702184
1999-10-28,3229474.4064,7829028.864,0.0,1079.711328
1999-10-29,2471037.2352,2471037.2352,0.0,1079.732664
1999-10-30,2471037.2352,2471037.2352,0.0,1079.741808
1999-10-31,2471037.2352,293588.5824,0.0,1079.750952
1999-11-01,4257034.4448,4257034.4448,0.0,1079.750952
1999-11-02,4403828.7360000005,3498597.2735999995,0.0,1079.729616
1999-11-03,2740160.1024,2740160.1024,0.0,1079.7143760000001
1999-11-04,2397640.0896,2397640.0896,0.0,1079.726568
1999-11-05,880765.7472,880765.7472,0.0,1079.72352
1999-11-06,1052025.7536,1052025.7536,0.0,1079.7357120000001
1999-11-07,1027560.0384,3449665.8431999995,0.0,1079.763144
1999-11-08,1883860.0704,4061308.7232,0.0,1079.787528
1999-11-09,2446571.52,2446571.52,0.0,1079.79972
1999-11-10,3033748.6848,3033748.6848,0.0,1079.805816
1999-11-11,1174354.3296,1174354.3296,0.0,1079.8119120000001
1999-11-12,978628.608,5847305.9328,0.0,1079.8393440000002
1999-11-13,978628.608,10202203.2384,0.0,1079.909448
1999-11-14,978628.608,3425200.1279999996,0.0,1079.976504
1999-11-15,3131611.5456,10226668.953599999,0.0,1080.0283200000001
1999-11-16,2152982.9376,2152982.9376,0.0,1080.061848
1999-11-17,1076491.4688,5969634.508799999,0.0,1080.101472
1999-11-18,929697.1775999999,5602648.7808,0.0,1080.1471920000001
1999-11-19,1663668.6336,6238757.375999999,0.0,1080.1868160000001
1999-11-20,2250845.7984,2250845.7984,0.0,1080.2112
1999-11-21,3620925.8496,3620925.8496,0.0,1080.235584
1999-11-22,3523062.9888,5969634.508799999,0.0,1080.263016
1999-11-23,3058214.4,3058214.4,0.0,1080.263016
1999-11-24,4232568.729599999,4232568.729599999,0.0,1080.25692
1999-11-25,905231.4624,5553717.3504,0.0,1080.2904480000002
1999-11-26,978628.608,5627114.495999999,0.0,1080.33312
1999-11-27,1027560.0384,1027560.0384,0.0,1080.372744
1999-11-28,929697.1775999999,5847305.9328,0.0,1080.400176
1999-11-29,5969634.508799999,1052025.7536,0.0,1080.4032240000001
1999-11-30,7070591.6928,2422105.8048,0.0,1080.369696
1999-12-01,13162554.7776,3571994.4192,0.0,1080.299592
1999-12-02,17688712.0896,5969634.508799999,0.0,1080.153288
1999-12-03,11841406.156799998,4452760.1664,0.0,1080.019176
1999-12-04,5088868.7616,2911420.1087999996,0.0,1079.964312
1999-12-05,4917608.755199999,2471037.2352,0.0,1079.9307840000001
1999-12-06,11865871.871999998,4819745.8944,0.0,1079.878968
1999-12-07,12061597.5936,415917.1584,0.0,1079.7722880000001
1999-12-08,11205297.5616,3890048.7168,0.0,1079.671704
1999-12-09,11939269.017599998,2789091.5327999997,0.0,1079.574168
1999-12-10,12134994.7392,2715694.3872,0.0,1079.470536
1999-12-11,5773908.787199999,3351802.9824,0.0,1079.4004320000001
1999-12-12,6507880.2432,4354897.3056,0.0,1079.376048
1999-12-13,15829317.734399999,1590271.488,0.0,1079.290704
1999-12-14,12257323.3152,7706700.288,0.0,1079.1657360000002
1999-12-15,12159460.4544,2764625.8175999993,0.0,1079.080392
1999-12-16,10300066.0992,1198820.0448,0.0,1078.9950480000002
1999-12-17,12110529.024000002,7315248.8448,0.0,1078.903608
1999-12-18,5896237.3632000005,3767720.1408,0.0,1078.830456
1999-12-19,5602648.7808,5602648.7808,0.0,1078.796928
1999-12-20,12086063.3088,12061597.5936,0.0,1078.7298720000001
1999-12-21,12404117.606400002,12379651.891199999,0.0,1078.623192
1999-12-22,8318343.168,8293877.452800001,0.0,1078.5378480000002
1999-12-23,8171548.8768,8171548.8768,0.0,1078.455552
1999-12-24,5871771.647999999,5871771.647999999,0.0,1078.4037360000002
1999-12-25,5627114.495999999,856300.0319999999,0.0,1078.354968
1999-12-26,5578183.065599999,562711.4496,0.0,1078.303152
1999-12-27,7143988.8384,269122.8672,0.0,1078.254384
1999-12-28,5896237.3632000005,1394545.7663999998,0.0,1078.165992
1999-12-29,6483414.528,2813557.2479999997,0.0,1078.120272
1999-12-30,6605743.104,4232568.729599999,0.0,1078.071504
1999-12-31,5602648.7808,3229474.4064,0.0,1078.0288320000002
2000-01-01,5602648.7808,3498597.2735999995,0.0,1077.998352
2000-01-02,5994100.224,1247751.4752,0.0,1077.967872
2000-01-03,12061597.5936,2838022.9631999996,0.0,1077.9069120000001
2000-01-04,12404117.606400002,3498597.2735999995,0.0,1077.7880400000001
2000-01-05,11792474.726400001,2617831.5264000003,0.0,1077.678312
2000-01-06,12379651.891199999,3523062.9888,0.0,1077.562488
2000-01-07,13529540.5056,4403828.7360000005,0.0,1077.431424
2000-01-08,5847305.9328,5847305.9328,0.0,1077.34608
2000-01-09,5602648.7808,1174354.3296,0.0,1077.309504
2000-01-10,14728360.550399998,685040.0256,0.0,1077.2394000000002
2000-01-11,13700800.511999998,195725.7216,0.0,1077.105288
2000-01-12,13578471.936,4770814.464,0.0,1076.974224
2000-01-13,13627403.3664,4795280.1792,0.0,1076.837064
2000-01-14,13431677.6448,4795280.1792,0.0,1076.715144
2000-01-15,5847305.9328,5847305.9328,0.0,1076.620656
2000-01-16,6018565.9392,1394545.7663999998,0.0,1076.581032
2000-01-17,12183926.1696,3449665.8431999995,0.0,1076.5109280000001
2000-01-18,13627403.3664,,,1076.373768
2000-01-19,13651869.0816,342520.0128,0.0,1076.227464
2000-01-20,13554006.2208,269122.8672,0.0,1076.08116
2000-01-21,11205297.5616,4575088.7424,0.0,1075.956192
2000-01-22,5724977.356799999,3425200.1279999996,0.0,1075.8830400000002
2000-01-23,6605743.104,,0.0,1075.834272
2000-01-24,13529540.5056,220191.4368,0.0,1075.736736
2000-01-25,13725266.2272,2838022.9631999996,0.0,1075.5904320000002
2000-01-26,13651869.0816,489314.304,0.0,1075.453272
2000-01-27,13749731.9424,2666762.9568000003,0.0,1075.306968
2000-01-28,13627403.3664,2789091.5327999997,0.0,1075.169808
2000-01-29,6752537.395199999,220191.4368,0.0,1075.0570320000002
2000-01-30,6214291.6608,1688134.3487999998,0.0,1075.002168
2000-01-31,13676334.7968,636108.5952,0.0,1074.901584
2000-02-01,8024754.585599999,7926891.7248,0.0,1074.78576
2000-02-02,13676334.7968,685040.0256,0.0,1074.7004160000001
2000-02-03,13749731.9424,8929986.048,0.0,1074.569352
2000-02-04,13627403.3664,685040.0256,0.0,1074.4260960000001
2000-02-05,6189825.945599999,3963445.8624,0.0,1074.322464
2000-02-06,6116428.8,1908325.7856,0.0,1074.276744
2000-02-07,13627403.3664,2715694.3872,0.0,1074.182256
2000-02-08,13554006.2208,782902.8864,0.0,1074.039
2000-02-09,13749731.9424,905231.4624,0.0,1073.907936
2000-02-10,15364469.1456,2593365.8112000003,0.0,1073.746392
2000-02-11,15193209.1392,2422105.8048,0.0,1073.5818000000002
2000-02-12,15413400.576,2691228.6720000003,0.0,1073.41416
2000-02-13,15413400.576,2715694.3872,0.0,1073.252616
2000-02-14,15291072.0,2397640.0896,0.0,1073.091072
2000-02-15,9150177.4848,880765.7472,0.0,1072.969152
2000-02-16,7780097.4336,3425200.1279999996,0.0,1072.896
2000-02-17,9125711.7696,905231.4624,0.0,1072.80456
2000-02-18,13309349.0688,489314.304,0.0,1072.707024
2000-02-19,15486797.7216,2960351.5391999995,0.0,1072.5363360000001
2000-02-20,15584660.5824,3058214.4,0.0,1072.3626000000002
2000-02-21,15511263.4368,3033748.6848,0.0,1072.188864
2000-02-22,15437866.2912,3009282.9696,0.0,1072.024272
2000-02-23,15486797.7216,4159171.584,0.0,1071.853584
2000-02-24,15535729.151999999,5309060.198399999,0.0,1071.688992
2000-02-25,15633592.012799999,4208103.0144,0.0,1071.5244
2000-02-26,15658057.728,3131611.5456,0.0,1071.353712
2000-02-27,15658057.728,3376268.6975999996,0.0,1071.1799760000001
2000-02-28,15609126.2976,1272217.1904,0.0,1071.012336
2000-02-29,9492697.4976,3376268.6975999996,0.0,1070.875176
2000-03-01,9884148.9408,1908325.7856,0.0,1070.7898320000002
2000-03-02,8807657.472000001,611642.88,0.0,1070.6862
2000-03-03,15780386.304,3620925.8496,0.0,1070.5551360000002
2000-03-04,15658057.728,3547528.704,0.0,1070.3814
2000-03-05,15658057.728,4012377.2927999995,0.0,1070.210712
2000-03-06,12550911.897599999,4452760.1664,0.0,1070.055264
2000-03-07,11425488.9984,3547528.704,0.0,1069.93944
2000-03-08,11498886.144,3449665.8431999995,0.0,1069.826664
