units,learning_rate,activation,batch_size,Score
8,0.001,relu,64,4.679468631744385
48,0.001,relu,8,4.6963324546813965
48,0.001,relu,32,4.751784324645996
24,0.001,relu,32,4.819131851196289
40,0.01,relu,32,4.8334856033325195
48,0.0001,relu,8,4.871326923370361
32,0.01,relu,32,4.917540550231934
16,0.01,relu,16,5.1606974601745605
48,0.0001,relu,64,5.2030134201049805
40,0.0001,relu,8,5.211169242858887
32,0.001,relu,32,5.25100040435791
32,1e-05,relu,8,5.3714680671691895
48,1e-05,relu,16,5.392856597900391
64,0.001,relu,32,5.4419403076171875
48,0.0001,relu,32,5.502593040466309
40,0.01,relu,8,5.563991069793701
56,0.0001,relu,32,5.591061115264893
16,1e-05,relu,32,5.631482124328613
8,1e-05,relu,16,5.654799461364746
24,0.001,relu,64,5.677241802215576
64,0.0001,relu,64,5.692557334899902
32,1e-05,relu,16,5.716883182525635
32,0.0001,relu,16,5.7328386306762695
32,0.0001,relu,64,5.7339091300964355
32,0.0001,relu,8,5.753361701965332
64,1e-05,relu,64,5.796325206756592
24,1e-05,relu,8,5.988886833190918
40,1e-05,relu,32,6.038663387298584
24,1e-05,relu,32,6.0873942375183105
56,1e-05,relu,8,6.109974384307861
64,0.0001,relu,16,6.15928840637207
64,1e-05,relu,16,6.17502498626709
64,1e-05,relu,8,6.208248138427734
56,0.0001,relu,8,6.251629829406738
56,1e-05,relu,16,6.3161139488220215
16,0.0001,relu,32,6.38981294631958
48,1e-05,relu,8,6.412008285522461
24,0.001,relu,16,6.416600704193115
56,0.0001,relu,64,6.456818103790283
56,0.0001,relu,16,6.463529109954834
24,1e-05,relu,16,6.510019302368164
32,0.0001,relu,32,6.570868968963623
48,1e-05,relu,64,6.585227966308594
40,0.0001,relu,64,6.632081508636475
8,1e-05,relu,8,6.661505222320557
24,0.0001,relu,8,6.681406497955322
32,0.001,relu,16,7.077591419219971
8,0.0001,relu,16,7.126231670379639
40,1e-05,relu,64,7.456703186035156
8,0.0001,relu,64,7.457626819610596
8,0.0001,relu,8,7.5648512840271
48,1e-05,relu,32,7.663539409637451
24,0.0001,relu,32,7.726111888885498
16,0.01,linear,8,7.827888488769531
16,1e-05,linear,32,7.828085899353027
24,0.001,relu,8,7.851387023925781
8,0.0001,linear,16,7.94635009765625
16,0.0001,relu,64,7.958112716674805
8,0.01,linear,32,8.033306121826172
16,0.01,linear,16,8.038365364074707
32,0.001,linear,8,8.043513298034668
56,0.001,linear,32,8.10738468170166
16,0.001,relu,64,8.17717170715332
64,0.001,linear,32,8.208069801330566
8,0.001,linear,32,8.251954078674316
16,0.001,linear,8,8.254755020141602
24,0.01,linear,16,8.256919860839844
24,0.01,linear,64,8.313014030456543
64,0.001,linear,8,8.348210334777832
8,0.01,linear,64,8.367372512817383
64,0.001,linear,64,8.36981201171875
40,0.01,linear,16,8.381213188171387
8,0.001,linear,64,8.410493850708008
56,0.001,linear,64,8.42816162109375
40,0.001,linear,64,8.470417976379395
16,0.01,linear,64,8.487916946411133
32,0.001,linear,64,8.503946304321289
40,0.001,linear,32,8.504880905151367
56,0.01,linear,64,8.531644821166992
16,1e-05,relu,64,8.532708168029785
40,0.001,linear,8,8.53963851928711
32,0.01,linear,32,8.551173210144043
24,0.001,linear,32,8.565781593322754
8,0.0001,linear,8,8.56810474395752
8,0.01,linear,16,8.586478233337402
56,1e-05,relu,64,8.59029483795166
48,0.001,linear,32,8.671427726745605
40,0.01,linear,32,8.680395126342773
16,0.0001,linear,32,8.693151473999023
8,0.01,linear,8,8.693743705749512
8,0.001,linear,8,8.696781158447266
48,0.01,linear,64,8.703423500061035
16,0.0001,linear,16,8.71186637878418
8,0.001,linear,16,8.72231674194336
40,0.01,linear,64,8.726912498474121
16,0.0001,linear,8,8.751625061035156
40,0.0001,linear,64,8.756932258605957
64,0.001,linear,16,8.771566390991211
24,0.01,linear,32,8.77314567565918
48,0.001,linear,64,8.785627365112305
16,0.01,linear,32,8.78659725189209
40,0.0001,linear,16,8.792789459228516
56,0.01,linear,32,8.80907917022705
48,0.01,linear,8,8.818397521972656
24,0.001,linear,8,8.853839874267578
48,0.01,linear,32,8.882645606994629
56,0.01,linear,8,8.88921070098877
48,0.001,linear,8,8.89883041381836
40,0.0001,linear,8,8.906723022460938
32,0.01,linear,8,8.91047191619873
24,0.0001,relu,16,8.911896705627441
32,0.01,linear,64,8.924615859985352
32,0.0001,linear,8,8.934194564819336
40,0.0001,linear,32,8.940483093261719
40,0.001,linear,16,8.943951606750488
24,0.01,linear,8,8.95040225982666
64,0.0001,linear,8,8.962578773498535
24,0.001,linear,64,8.970328330993652
16,0.001,linear,64,8.974189758300781
64,0.0001,linear,32,8.994295120239258
32,0.01,linear,16,9.002334594726562
64,0.01,linear,32,9.010448455810547
64,0.01,linear,64,9.023216247558594
56,0.001,linear,8,9.024654388427734
56,0.0001,linear,16,9.030261039733887
32,0.001,linear,32,9.041776657104492
56,0.0001,linear,32,9.049149513244629
24,0.0001,linear,8,9.05525016784668
64,0.01,linear,8,9.061972618103027
24,0.0001,linear,32,9.095643997192383
56,0.0001,linear,8,9.115805625915527
16,0.0001,linear,64,9.122963905334473
16,0.001,linear,16,9.144550323486328
64,0.0001,linear,16,9.15589427947998
32,0.001,linear,16,9.155905723571777
48,0.0001,linear,32,9.221067428588867
48,0.0001,linear,16,9.236041069030762
32,0.0001,linear,32,9.27064323425293
64,0.01,linear,16,9.281152725219727
8,0.0001,relu,32,9.287949562072754
24,0.001,linear,16,9.295969009399414
40,0.01,linear,8,9.30026912689209
56,0.001,linear,16,9.359919548034668
16,0.001,linear,32,9.373177528381348
48,0.001,linear,16,9.384734153747559
16,1e-05,linear,8,9.441272735595703
48,0.01,linear,16,9.476459503173828
32,0.0001,linear,16,9.497152328491211
56,0.01,linear,16,9.506255149841309
32,1e-05,linear,16,9.51253890991211
24,0.0001,linear,64,9.512624740600586
56,1e-05,linear,16,9.551918029785156
64,1e-05,linear,8,9.615848541259766
56,1e-05,linear,32,9.625892639160156
40,1e-05,linear,8,9.641615867614746
48,0.0001,linear,8,9.677604675292969
16,1e-05,relu,8,9.96243667602539
16,0.0001,relu,8,10.548829078674316
56,1e-05,relu,32,10.697019577026367
8,1e-05,linear,32,10.877426147460938
40,1e-05,relu,16,11.092232704162598
8,0.0001,linear,64,11.235033988952637
8,1e-05,linear,8,11.272513389587402
40,1e-05,relu,8,11.90557861328125
24,1e-05,linear,32,12.264341354370117
32,1e-05,relu,64,12.2662353515625
24,1e-05,linear,64,12.5333833694458
32,0.0001,linear,64,12.565171241760254
40,1e-05,linear,64,12.593215942382812
64,1e-05,linear,16,12.654549598693848
40,1e-05,linear,32,12.906005859375
64,0.0001,linear,64,13.175662994384766
40,0.0001,relu,32,13.233013153076172
40,1e-05,linear,16,13.63330078125
24,0.0001,relu,64,13.649476051330566
32,1e-05,relu,32,13.73000431060791
24,0.0001,linear,16,13.753881454467773
8,1e-05,linear,16,14.446152687072754
32,1e-05,linear,8,14.676370620727539
24,1e-05,relu,64,15.90820026397705
24,1e-05,linear,16,16.16344451904297
8,0.0001,linear,32,16.214998245239258
16,0.0001,relu,16,16.45599365234375
8,1e-05,relu,32,17.03597068786621
48,1e-05,linear,32,17.104894638061523
48,1e-05,linear,16,17.155126571655273
48,1e-05,linear,64,17.530691146850586
56,1e-05,linear,8,19.051677703857422
64,1e-05,linear,32,19.12007713317871
64,1e-05,linear,64,19.23441505432129
24,1e-05,linear,8,20.34485626220703
16,1e-05,linear,64,20.63848114013672
48,0.0001,linear,64,20.640899658203125
8,1e-05,relu,64,21.827091217041016
56,0.0001,linear,64,22.001554489135742
56,1e-05,linear,64,23.3496036529541
32,1e-05,linear,32,23.764719009399414
32,1e-05,linear,64,24.06104278564453
8,1e-05,linear,64,24.923072814941406
48,1e-05,linear,8,26.95940589904785
16,1e-05,linear,16,28.634414672851562
