units,learning_rate,activation,batch_size,Score
32,0.001,linear,32,11.268170356750488
40,0.001,relu,16,11.277421951293945
56,0.01,relu,64,11.285468101501465
24,0.001,linear,64,11.285798072814941
56,0.001,relu,8,11.285889625549316
24,0.01,relu,8,11.310585975646973
32,0.0001,relu,16,11.311718940734863
8,0.001,relu,64,11.313461303710938
56,1e-05,linear,16,11.31434154510498
8,0.0001,linear,32,11.316899299621582
64,1e-05,relu,8,11.32243824005127
48,0.01,linear,16,11.322654724121094
40,0.01,relu,64,11.322997093200684
8,0.01,relu,8,11.32774829864502
40,0.0001,relu,16,11.329864501953125
24,0.001,relu,8,11.332764625549316
8,0.0001,relu,64,11.333431243896484
64,0.01,linear,64,11.339033126831055
32,1e-05,linear,16,11.344202995300293
64,0.001,linear,8,11.345235824584961
56,0.001,linear,64,11.352738380432129
16,0.0001,relu,64,11.359488487243652
40,0.001,relu,8,11.3630952835083
56,1e-05,relu,8,11.37034797668457
24,0.01,linear,32,11.371320724487305
48,1e-05,linear,16,11.372323989868164
32,1e-05,linear,32,11.377350807189941
48,0.001,linear,32,11.382452011108398
56,0.01,linear,16,11.385741233825684
24,0.0001,relu,16,11.387008666992188
8,1e-05,relu,8,11.38770580291748
24,0.0001,relu,8,11.391738891601562
40,0.0001,linear,32,11.39551830291748
40,0.001,linear,16,11.397529602050781
16,0.001,relu,64,11.40300464630127
8,0.01,relu,32,11.405909538269043
48,1e-05,relu,16,11.407598495483398
16,0.0001,linear,32,11.410808563232422
40,0.01,relu,32,11.426576614379883
32,1e-05,relu,32,11.434802055358887
16,1e-05,linear,16,11.436538696289062
8,0.0001,linear,64,11.449888229370117
64,0.001,relu,32,11.457650184631348
32,0.001,relu,32,11.461698532104492
16,0.001,relu,16,11.463261604309082
8,1e-05,linear,16,11.463311195373535
64,0.001,relu,64,11.467485427856445
56,0.0001,linear,32,11.476351737976074
40,0.0001,relu,64,11.480143547058105
16,0.01,linear,16,11.484441757202148
24,0.01,relu,32,11.49356746673584
16,0.01,relu,64,11.512929916381836
8,0.0001,relu,8,11.519033432006836
40,0.0001,relu,8,11.536901473999023
48,0.0001,relu,64,11.546216011047363
40,1e-05,linear,32,11.553065299987793
56,0.0001,linear,16,11.557451248168945
64,0.0001,linear,8,11.574676513671875
48,0.001,linear,8,11.58060359954834
40,0.01,linear,16,11.581637382507324
48,0.001,relu,8,11.58200454711914
40,0.0001,linear,64,11.601324081420898
24,0.001,relu,16,11.612567901611328
48,0.01,linear,8,11.624507904052734
56,0.01,linear,64,11.629433631896973
24,0.01,linear,16,11.630596160888672
48,0.0001,relu,8,11.63211727142334
8,1e-05,linear,32,11.63320255279541
24,0.01,linear,64,11.640557289123535
56,1e-05,linear,32,11.653578758239746
48,0.001,linear,16,11.65410327911377
32,0.001,linear,64,11.65412425994873
40,1e-05,linear,16,11.654754638671875
40,0.001,relu,32,11.655128479003906
8,0.01,linear,64,11.667136192321777
16,0.0001,relu,8,11.67473316192627
32,0.01,linear,32,11.723417282104492
16,0.01,relu,32,11.724122047424316
48,0.001,linear,64,11.73856258392334
48,0.0001,linear,8,11.739394187927246
64,0.0001,linear,32,11.742630004882812
24,0.001,linear,8,11.767739295959473
8,0.01,linear,16,11.772737503051758
64,0.001,relu,16,11.779840469360352
40,1e-05,linear,8,11.826452255249023
40,0.001,linear,64,11.842817306518555
56,0.001,relu,32,11.846773147583008
16,0.0001,linear,8,11.873832702636719
32,0.0001,linear,64,11.878713607788086
16,0.001,relu,32,11.882464408874512
24,0.0001,linear,16,11.884625434875488
64,0.01,relu,8,11.89273738861084
24,1e-05,relu,8,11.91795539855957
64,0.001,linear,64,11.920161247253418
8,0.0001,linear,8,11.923770904541016
64,1e-05,relu,16,11.927844047546387
64,1e-05,linear,32,11.929485321044922
24,0.0001,relu,32,11.932015419006348
48,1e-05,relu,8,11.933553695678711
24,0.0001,linear,32,11.943245887756348
32,0.01,relu,64,11.960070610046387
48,0.0001,linear,64,11.961974143981934
32,1e-05,linear,8,11.964492797851562
64,0.0001,linear,16,11.964811325073242
24,0.001,linear,16,11.972307205200195
32,0.0001,linear,16,11.975175857543945
32,0.01,linear,16,11.976540565490723
32,0.01,relu,32,11.986187934875488
56,0.0001,relu,64,11.987732887268066
48,0.001,relu,64,11.994677543640137
64,0.01,relu,64,11.996736526489258
16,0.01,relu,16,12.013225555419922
8,0.0001,relu,16,12.027249336242676
64,1e-05,relu,32,12.034648895263672
56,1e-05,relu,32,12.040783882141113
56,0.001,relu,16,12.049521446228027
32,0.0001,relu,64,12.083269119262695
40,0.01,linear,32,12.092376708984375
64,0.0001,linear,64,12.11181926727295
64,0.01,linear,16,12.124584197998047
32,0.01,linear,64,12.128073692321777
16,0.01,linear,32,12.150453567504883
32,1e-05,linear,64,12.166559219360352
48,0.01,linear,32,12.180524826049805
16,1e-05,relu,16,12.19992733001709
16,0.001,linear,32,12.203363418579102
40,0.01,relu,8,12.208677291870117
8,1e-05,linear,8,12.21770191192627
40,0.01,linear,64,12.227391242980957
8,0.01,linear,32,12.287606239318848
32,1e-05,relu,16,12.290690422058105
40,1e-05,relu,8,12.302238464355469
64,1e-05,linear,16,12.303482055664062
8,0.01,linear,8,12.305770874023438
24,0.01,relu,64,12.315620422363281
24,1e-05,linear,16,12.328495025634766
24,1e-05,linear,32,12.35761547088623
24,1e-05,linear,8,12.3632230758667
40,1e-05,relu,32,12.375679016113281
40,0.0001,relu,32,12.389594078063965
16,1e-05,linear,8,12.390182495117188
24,0.01,relu,16,12.400151252746582
8,0.0001,relu,32,12.405439376831055
32,0.01,linear,8,12.41636848449707
24,0.0001,linear,64,12.482072830200195
16,1e-05,relu,32,12.519256591796875
48,1e-05,linear,32,12.563810348510742
40,1e-05,relu,16,12.566062927246094
48,1e-05,relu,32,12.600953102111816
48,0.01,relu,8,12.624996185302734
16,0.01,linear,8,12.820412635803223
8,1e-05,relu,64,12.973814964294434
56,0.01,relu,16,13.006014823913574
24,0.0001,relu,64,13.008326530456543
24,1e-05,relu,32,13.211843490600586
48,0.01,relu,32,13.286993026733398
24,1e-05,linear,64,13.31192684173584
32,0.01,relu,8,13.335423469543457
56,1e-05,linear,64,13.421178817749023
64,1e-05,relu,64,13.471232414245605
16,1e-05,linear,64,13.491920471191406
8,1e-05,linear,64,13.554604530334473
16,1e-05,relu,64,13.895069122314453
24,1e-05,relu,64,13.961472511291504
40,1e-05,relu,64,14.033577919006348
56,1e-05,relu,64,14.205982208251953
32,1e-05,relu,64,14.448480606079102
48,1e-05,relu,64,14.744339942932129
64,1e-05,linear,64,15.22672176361084
40,1e-05,linear,64,15.235940933227539
48,1e-05,linear,64,15.4332857131958
