date,avg gain (m3/d),computed inflow (m3/d),unregulated flow (m3/d),elevation (m),discharge (m3/d),total avg discharge (m3/d),spillway discharge (m3/d),storage (m3)
1990-07-27,,7833750.7470336,2196654.239232,931.0908480000002,8929986.048,,,325282009.9188
1990-07-28,,7615100.6502912,1994420.6373888,930.99636,8440671.743999999,,,324241495.53000003
1990-07-29,,8218571.981414399,1578527.9447040001,930.962832,8391740.3136,,,323868256.8168
1990-07-30,,8770371.722035201,1505913.7019904,930.9933120000001,8244946.0224,,,324201913.1568
1990-07-31,,9668654.9213184,1538232.9117696001,931.1121840000001,8196014.592,,,325519541.1624
1990-08-01,,8409942.8057088,1542808.000512,931.11828,8220480.3072,,,325587382.5624
1990-08-02,,8853726.4137216,1226343.9744,931.1640000000001,8220480.3072,,,326096341.08
1990-08-03,,8925459.890688,1407512.595456,931.215816,8098151.7312,,,326671611.4824
1990-08-04,,7541165.2589568,1201437.8763263999,931.142664,8049220.3008,,,325864483.84440005
1990-08-05,,7301034.2642688,1233928.346112,931.048176,8049220.3008,,,324812670.7788
1990-08-06,,7772072.6790144,937770.863616,930.99636,8049220.3008,,,324241495.53000003
1990-08-07,,6395802.8018688,1106951.284224,930.819576,8073686.016,,,322286368.056
1990-08-08,,4845361.4982144,1165791.32928,930.490392,8196014.592,,,318663328.926
1990-08-09,,5025037.710643199,1118596.9646591998,930.170352,8244946.0224,,,315162971.71680003
1990-08-10,,5011752.8272896,1133765.7080832,929.847264,8342808.8832,,,311642311.4268
1990-08-11,,5169434.3617536,1297294.5484799999,929.536368,8342808.8832,,,308279548.9116
1990-08-12,,5226561.8067456,1184776.7242752,929.2285200000001,8342808.8832,,,304970183.7456
1990-08-13,,4159734.2954496,1331252.9611776,928.820088,8342808.8832,,,300600173.7972
1990-08-14,,3641012.2017792,1383536.19456,928.3598400000001,8367274.5984,,,295707649.38600004
1990-08-15,,3776258.6754048,1681455.2085503999,927.9087360000001,8391740.3136,,,290959565.4828
1990-08-16,,2709235.4383872,1470340.5520896001,927.350952,8391740.3136,,,285130176.0072
1990-08-17,,2069897.3687808,1689333.1688448,926.7261120000001,8611931.7504,,,278669750.4984
1990-08-18,,2275605.1021824,1965575.559168,926.113464,8636397.4656,,,272410863.2868
1990-08-19,,2354800.6222848,2012843.3209344,925.503864,8636397.4656,,,266237369.8956
1990-08-20,,2845827.5263488,2542159.0692864,924.9613200000001,8391740.3136,,,260801966.26680002
1990-08-21,,2651202.7619328,2669013.8025984,924.452304,7853494.5792,,,255756416.32680002
1990-08-22,,2528458.2687744,2197437.1421184,923.979864,7364180.2752,,,251109761.484
1990-08-23,,2492836.1874432,2040000.2648064,923.516568,7217385.984,,,246587170.0596
1990-08-24,,2791513.6386047998,2000781.7233407998,923.105088,6752537.3952,,,242620557.4104
1990-08-25,,2364219.9226368,2104247.2329216,922.678368,6556811.6736,,,238519051.3884
1990-08-26,,2588276.9424384004,1945709.3984255998,922.27908,6483414.528,,,234724940.91720003
1990-08-27,,2697247.2379392,2084992.7150592,921.9011280000001,6361085.952,,,231160516.7568
1990-08-28,,2621746.040832,1789079.8897152,921.5201280000001,6287688.8064,,,227585497.0032
1990-08-29,,2656732.0135680004,1746534.0109824,921.1391280000001,6312154.5216,,,224034357.4224
1990-08-30,,2742362.016768,1661735.8420992,920.7642240000001,6312154.5216,,,220568735.01
1990-08-31,,2754863.9972352,1600106.7055104,920.3893200000001,6287688.8064,,,217122811.2732
1990-09-01,,2716306.03008,2169864.2810879997,920.00832,6825934.5408,,,213635923.6656
1990-09-02,,2731083.3220607997,1613562.8488703999,919.624272,6312154.5216,,,210162382.31160003
1990-09-03,,2724428.6475263997,1489815.2613888,919.2280320000001,6312154.5216,,,206602040.97
1990-09-04,,2644156.6359552,1338641.607168,918.816552,6336620.2368,,,202917019.47
1990-09-05,,2790632.8728576005,1652536.733184,918.417264,6312154.5216,,,199386256.9788
1990-09-06,,2686066.4060928,1360905.408,918.0027360000001,6336620.2368,,,195740743.8432
1990-09-07,,2530342.1288448,1626872.1979392,917.566872,6336620.2368,,,191940256.2804
1990-09-08,,2736147.7251071995,1604559.4656768,917.1523440000001,6361085.952,,,188351236.5288
1990-09-09,,2719682.2987776003,1564288.8984576,916.893264,6385551.6672,,,184728012.3768
1990-09-10,,2607898.4460288,1409665.5783936,916.292808,6361085.952,,,181016138.01720002
1990-09-11,,2683375.1774208,1371596.9255424,915.8538960000001,6336620.2368,,,177325898.8968
1990-09-12,,2614773.312,1228374.6287616,915.4027920000001,6312154.5216,,,173556470.36040002
1990-09-13,,2635642.5670656,1356501.579264,914.9486400000001,6385551.6672,,,169807024.2
1990-09-14,,2099084.9670144,1297172.2199040002,914.424384,6385551.6672,,,165515771.94959998
1990-09-15,,1722704.4043776,1366092.1396224,913.8483120000001,6385551.6672,,,160851984.06960002
1990-09-16,,1803465.7302528,1303680.1001472,913.275288,6385551.6672,,,156265473.7116
1990-09-17,,1734325.6190976,1370202.3797759998,912.7175040000001,6165360.2304,,,151864417.0716
1990-09-18,,1727083.7673983998,1258222.8013056,912.168864,5994100.223999999,,,147576618.5652
1990-09-19,,1761164.5086720001,1353590.1591552,911.6202240000001,6018565.9392,,,143342513.4432
1990-09-20,,1775281.2263424,1398729.4036992001,911.0654880000001,6018565.9392,,,139108260.3036
1990-09-21,,721004.626944,1479857.7153024,910.4558880000001,5333525.9136,,,134521416.906
1990-09-22,,1410546.3441408,2192495.067648,910.001736,4770814.464,,,131140065.8472
1990-09-23,,176128.68372479998,915311.3370624,909.3738480000001,4770814.464,,,126520189.85520001
1990-09-24,,137179.2651264,1137215.3739264,908.739864,4746348.7488,,,121927845.1368
1990-09-25,,192765.37006080002,1490182.2471168002,908.102832,4746348.7488,,,117379350.6324
1990-09-26,,285930.8135424,1538208.4460544,907.453608,4844211.6096,,,112815597.9804
1990-09-27,,155455.1543808,1522330.1968896,906.770856,4917608.7552,,,108088988.964
1990-09-28,,234601.7430528,1493020.27008,906.088104,4893143.04,,,103440681.258
1990-09-29,,229390.54571520002,1397383.7893631998,905.39316,4893143.04,,,98787155.9316
1990-09-30,,,1509118.7106816,904.689072,4893143.04,,,94155043.818
1990-10-01,,,1507773.0963456,903.99108,4575088.7424,,,89638360.76280001
1990-10-02,,229977.72288,1335803.5842048,903.3083280000001,4452760.1663999995,,,85295623.0572
1990-10-03,,272890.58734080003,1479588.5924352,902.6408160000001,4330431.5904,,,81121181.3628
1990-10-04,,209108.4678144,1311240.006144,901.9611120000001,4257034.4448,,,76946813.6772
1990-10-05,,100015.84373760001,2062215.1342079998,901.711176,2236166.3692799998,,,75430644.7308
1990-10-06,,219335.136768,1697871.7034496,901.6197360000001,934590.3206399999,,,74876466.8364
1990-10-07,,221145.5996928,1377419.7657599999,901.494768,946823.17824,,,74123624.6532
1990-10-08,,82058.0087808,1579041.7247231998,901.3454160000001,949269.74976,,,73229178.96599999
1990-10-09,,156947.563008,1454364.4400640002,901.208256,937036.8921599999,,,72407594.9424
1990-10-10,,57788.019302400004,1307031.9031296,901.052808,939483.46368,,,71482694.634
