Date,dS (m3),GranD_ID
2021-01-01,140167.14877075353,374
2021-01-15,107985.67688077496,374
2021-02-01,-71.9627853250131,374
2021-02-15,-145670.9819375088,374
2021-03-01,159936.72432771366,374
2021-03-15,166533.9603913789,374
2021-04-01,-481991.51407461904,374
2021-04-15,604412.4331504001,374
2021-05-01,-804091.4525570334,374
2021-05-15,708107.4765067251,374
2021-06-01,363438.140387375,374
2021-06-15,-580723.9198445,374
2021-07-01,-249122.5713521,374
2021-07-15,-679559.4846044,374
2021-08-01,-411713.70184935,374
2021-08-15,272035.39747523016,374
2021-09-01,386309.0286945,374
2021-09-15,276706.7943064,374
2021-10-01,-3883.445980309717,374
2021-10-15,-5172.785586548355,374
2021-11-01,-3875.7323995128136,374
2021-11-15,473448.37933630723,374
2021-12-01,-745463.0712851468,374
2021-12-15,-81355.82380297522,374
2022-01-01,-132420.68894523068,374
2022-01-15,275420.35250933224,374
2022-02-01,-151076.0239935037,374
2022-02-15,-4679.504045849788,374
2022-03-01,124513.10771375561,374
2022-03-15,13091.152457619086,374
2022-04-01,-103590.09149531923,374
2022-04-15,-58024.14087517392,374
2022-05-01,153934.25192472604,374
2022-05-15,388017.0186279805,374
2022-06-01,-121302.24835106143,374
2022-06-15,525759.5752676501,374
2022-07-01,-124477.50024156,374
2022-07-15,-466247.11294193997,374
2022-08-01,-261575.6615562217,374
2022-08-15,-5796.605484450716,374
2022-09-01,234242.921693775,374
2022-09-15,-227998.3463858338,374
2022-10-01,-263382.173657425,374
2022-10-15,149316.54383244223,374
2022-11-01,-316553.1353420384,374
2022-11-15,-230392.612459025,374
2022-12-01,-167021.4825073386,374
2022-12-15,-149728.87504814268,374
2023-01-01,198251.94820097502,374
2023-01-15,317854.79228643,374
2023-02-01,89314.75139129069,374
2023-02-15,-282017.97875848366,374
2023-03-01,-258841.43069185707,374
2023-03-15,-167389.1809614,374
2023-04-01,-92622.3862028,374
2023-04-15,0.0,374
2019-05-01,-95288.50956300372,323
2019-05-15,-48964.89849648387,323
2019-06-01,144147.97230237402,323
2019-06-15,84979.051654256,323
2019-07-01,7462.56913551665,323
2019-07-15,17922.367920902827,323
2019-08-01,-98548.51095057954,323
2019-08-15,94906.91599827987,323
2019-09-01,-86888.24856456666,323
2019-09-15,53661.927142792134,323
2019-10-01,44950.090689804376,323
2019-10-15,59038.8345910453,323
2019-11-01,-131347.7668953405,323
2019-11-15,-125315.69165368128,323
2019-12-01,-90818.57133848708,323
2019-12-15,-8592.286356312427,323
2020-01-01,-348.76132436234303,323
2020-01-15,7840.662799918325,323
2020-02-01,30570.974342934664,323
2020-02-15,57830.86765004877,323
2020-03-01,-24926.182040033455,323
2020-03-15,46523.50417163271,323
2020-04-01,20017.21221433661,323
2020-04-15,152625.86899328273,323
2020-05-01,-17980.30855099001,323
2020-05-15,-49532.53707932233,323
2020-06-01,-59123.59883640605,323
2020-06-15,40282.08476508362,323
2020-07-01,-14860.024953414359,323
2020-07-15,-36065.30229852388,323
2020-08-01,8779.499130496033,323
2020-08-15,15723.448203003358,323
2020-09-01,3069.239276943659,323
2020-09-15,-24746.268057584664,323
2020-10-01,61889.32591697146,323
2020-10-15,-28888.714082912324,323
2020-11-01,-14142.909656605936,323
2020-11-15,-50714.369541307846,323
2020-12-01,19556.679658124947,323
2020-12-15,-46570.977492167636,323
2021-01-01,-59496.92226572252,323
2021-01-15,5388.598507295417,323
2021-02-01,51523.93283519304,323
2021-02-15,8745.739415650969,323
2021-03-01,128569.50528351392,323
2021-03-15,74324.87661736806,323
2021-04-01,-8884.068050987475,323
2021-04-15,-27920.71112047936,323
2021-05-01,-23489.032103496407,323
2021-05-15,4823.954220780429,323
2021-06-01,-24888.9654434262,323
2021-06-15,1785.4033934064296,323
2021-07-01,3493.833319824123,323
2021-07-15,-1404.4765502915122,323
2021-08-01,-39297.23899750893,323
2021-08-15,-9389.17664551135,323
2021-09-01,22623.264887905912,323
2021-09-15,-28584.192006078396,323
2021-10-01,22071.113534663218,323
2021-10-15,-162905.71249397163,323
2021-11-01,-51310.037594750276,323
2021-11-15,35852.16782648648,323
2021-12-01,13911.872388221498,323
2021-12-15,22002.301417167804,323
